volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
20683,1966,1966,1942,1966,m,us,11.93920038,0.991653143,1,1,"Delany, Samuel R,",Babel-17,chiscifi | teamred
Derleth1948,1948,1948,1909,1948,m,us,13.04004902,0.676854241,1,1,"Derleth, August,",Two stories by Derleth,chiscifi | teamred | pbgothic
20270,1957,1957,1928,1957,m,us,12.3379538,0.99911578,1,1,"Dick, Philip K,",Eye in the sky,teamblack | chiscifi | chirandom
20684,1966,1966,1928,1966,m,us,12.54105411,0.995070701,1,1,"Dick, Philip K,",Now wait for last year,teamblack | chiscifi | chirandom
20821,1969,1969,1928,1969,m,us,12.54167706,0.994589404,1,1,"Dick, Philip K,",Galactic pot-healer,chiscifi | teamred
21412,1977,1977,1928,1977,m,us,12.81409114,0.76754363,1,1,"Dick, Philip K,",A scanner darkly,teamblack | chiscifi
22332,1985,1985,1928,1985,m,us,11.69185599,0.007948071,0,1,"Dick, Philip K,",Puttering about in a smal,teamblack | chirandom
21611,1979,1979,1923,1979,m,us,12.45718598,0.986268957,1,1,"Dickson, Gordon R,",Masters of Everon,teamblack | chiscifi | stew
22488,1986,1986,1923,1986,m,us,12.71490102,0.999074379,1,1,"Dickson, Gordon R,",The forever man,chiscifi | teamred
21417,1977,1977,1947,1977,m,us,12.07238043,0.99742882,1,1,"Donaldson, Stephen R,",The power that preserves,chifantasy | stew | teamblack | chiscifi | chirandom
nyp.33433039680552,1890,1890,1831,1890,m,us,15.88657155,0.99216206,1,1,"Donnelly, Ignatius,",C?sar's column,teamred | anatscifi
10377,1932,1932,1896,1932,m,us,11.00996756,0.000971851,0,1,"Dos Passos, John,",1919,teamred | chirandom
coo.31924051019580,1912,1912,1859,1912,m,uk,13.64482093,0.971165815,1,1,"Doyle, Arthur Conan,",The lost world,teamred | stew | anatscifi
23075,1989,1989,0,1989,f,us,11.47266259,0.160175627,0,1,"Dunlap, Susan,",Pious deception,teamred | chirandom | stew | chimyst
25470,1994,1994,0,1994,f,us,13.37542483,0.004074501,0,1,"Edgarian, Carol,",Rise the Euphrates,chirandom
22340,1985,1985,1947,1985,m,us,12.2320985,0.955653043,1,1,"Effinger, George Alec,",The nick of time,teamblack | chiscifi | chirandom | stew
uc2.ark+=13960=t9s17v81t,1909,1909,1852,1909,m,us,14.60629541,0.000299038,0,1,"Egan, Maurice Francis,",The wiles of Sexton Magin,teamblack | random
EllisSteamManPrairies1868,1868,1880,1840,1868,m,us,16.33148567,0.993267854,1,1,"Ellis, Edward S.",The Steam Man of the Prairies,teamblack | anatscifi | stew
22878,1988,1988,1933,1988,f,us,16.91529703,0.775734492,1,1,"Engh, M. J,",Wheel of the winds,chiscifi | teamred
11364,1932,1932,1909,1932,f,uk,12.05226201,1.03E-05,0,1,"Evans, Margiad,",Country dance,teamred | chirandom
nyp.33433075761720,1888,1888,1838,1888,m,uk,13.16525575,0.00605506,0,1,"Farjeon, B. L.",Miser Farebrother,teamblack | random
uc2.ark+=13960=t6251m863,1871,1871,1838,1871,m,uk,14.18374705,0.012239521,0,1,"Farjeon, B. L.",Joshua Marvel,teamblack | random
10986,1950,1950,1914,1950,m,us,17.75454145,0.064328595,0,1,"Fast, Howard,",The proud and the free,teamblack | chirandom
20582,1964,1964,1914,1964,m,us,15.06053519,0.231697029,0,1,"Fast, Howard,",Agrippa's daughter,teamblack | chirandom
nyp.33433075727168,1893,1893,1866,1893,m,uk,14.04966199,0.998193687,1,1,"Fawcett, E. Douglas",Hartmann the anarchist,teamblack | anatscifi
uc2.ark+=13960=t4bn9zk9h,1887,1888,1847,1887,m,us,13.12367836,0.022825438,0,1,"Fawcett, Edgar,",Olivia Delaplaine,random | teamred
11882,1949,1949,0,1949,,uk,12.53765957,0.00690776,0,1,"Ferrars, E. X,",The March Hare murders,teamred | chirandom | chimyst
dul1.ark+=13960=t95723c7j,1872,1897,1842,1872,m,fr,16.43629948,0.999992783,1,1,"Flammarion, Camille,",Lumen,teamblack | anatscifi | stew
nyp.33433075827018,1893,1894,1842,1893,m,fr,19.83632119,0.999999433,1,1,"Flammarion, Camille,",Omega: the last days of t,teamblack | anatscifi
22676,1987,1987,1932,1987,m,us,12.38345696,0.004183002,0,1,"Flynn, Robert,",Wanderer Springs,teamred | chirandom
20136,1954,1954,1916,1954,m,us,14.63775465,0.019928711,0,1,"Foote, Shelby,",Jordan County,teamred | chirandom
dul1.ark+=13960=t1qf9cr59,1906,1906,1851,1906,m,uk,15.05113135,0.798365989,1,1,"Ford, Douglas Morey.",A time of terror,teamblack | locscifi | stew
11022,1925,1925,1873,1925,m,uk,12.13928903,0.030328311,0,1,"Ford, Ford Madox,",No more parades,teamred | chirandom
uc1.b4095602,1913,1913,1873,1913,m,uk,12.39737126,0.106377416,0,1,"Ford, Ford Madox,",Mr. Fleight,teamblack | random
11803,1946,1946,1899,1946,m,uk,13.25861277,0.279922458,0,1,"Forester, C. S.",Lord Hornblower,teamblack | chirandom
uc1.31822033251729,1922,1922,1883,1922,m,au,16.07876655,0.002494881,0,1,"Forrest, Michael D",Father Justin,random | teamred
21423,1977,1977,1946,1977,m,us,12.24112973,0.999374667,1,1,"Foster, Alan Dean,",The end of the matter,chiscifi | teamred | chirandom
22073,1983,1983,1946,1983,m,us,12.07846156,0.994934755,1,1,"Foster, Alan Dean,",For love of mother-not,chiscifi | teamred | chirandom | stew
22498,1986,1986,1946,1986,m,us,10.83358685,0.501066796,1,1,"Foster, Alan Dean,",Into the out of,chiscifi | chihorror | teamred | stew
20737,1967,1967,1923,1967,f,us,11.59596635,0.007443925,0,1,"Fox, Paula,",Poor George,teamblack | chirandom
11396,1933,1933,1879,1933,f,au,11.97311687,0.044283368,0,1,"Franklin, Miles,",Bring the monkey,teamred | chirandom | chimyst
nyp.33433075737753,1890,1891,1848,1890,m,ah,14.12496826,0.009772422,0,1,"Franzos, Karl Emil,",Judith Trachtenberg,random | teamred
22678,1987,1987,1944,1987,m,us,11.21262161,0.00251415,0,1,"Friedman, Kinky,",A case of Lone Star,teamred | chirandom | chimyst
24491,1997,1997,1952,1997,f,us,13.8683282,0.072108452,0,1,"Gabaldon, Diana,",Drums of autumn,chifantasy | chirandom
20450,1961,1961,1920,1961,m,us,11.80969038,0.994192551,1,1,"Galouye, Daniel F,",Dark universe,chiscifi | teamred | stew
20370,1959,1959,1905,1959,m,us,10.74148965,0.994982666,1,1,"Gantz, Kenneth Franklin,",Not in solitude,chiscifi | teamred
21094,1973,1973,1933,1973,m,us,16.05682644,0.756973624,0,1,"Gardner, John,",Jason and Medeia,chifantasy | teamred | chirandom
20496,1962,1962,1927,1962,m,us,12.11372623,0.994061583,1,1,"Garrett, Randall,",Unwise child,chiscifi | teamred | stew
20956,1971,1971,0,1971,m,us,15.18511548,0.999447872,1,1,"Geissler, Ludwig A,",Looking beyond,chiutopia | teamred | chiscifi | stew
26011,1999,1999,1949,1999,f,us,11.70529101,0.014696565,0,1,"George, Elizabeth,",In pursuit of the proper sinner,chirandom | chimyst
nyp.33433074857248,1905,1909,1879,1905,m,uk,13.19706905,0.008949655,0,1,"Gibbon, Perceval,",Salvator,teamblack | random
22193,1984,1984,1948,1984,m,us,12.30054087,0.847632468,1,1,"Gibson, William",Neuromancer,chiscifi | teamred | stew | pbgothic
10269,1927,1927,1876,1927,f,us,11.60656023,0.041926288,0,1,"Glaspell, Susan,",A jury of her peers,teamred | chirandom | chimyst
23092,1989,1989,1937,1989,m,us,13.48892982,0.059492283,0,1,"Goldsborough, Robert,",The last coincidence,teamblack | chirandom | chimyst
nyp.33433074864889,1888,1888,1836,1888,m,uk,15.77742384,0.109715214,0,1,"Goodman, E. J.",Too curious,supernatural | random | teamred
21620,1979,1979,1926,1979,m,us,11.34497559,0.047786445,0,1,"Gordon, Noah,",The Jerusalem diamond,teamred | chirandom
23474,1953,1953,1900,1953,f,uk,13.02858967,0.089033366,0,1,"Goudge, Elizabeth,",The heart of the family,teamred | chirandom
nyp.33433075818611,1876,1878,1842,1876,f,fr,15.91589514,0.007529316,0,1,"Gr?ville, Henry,",Marrying off a daughter,random | teamred
23334,1990,1990,1936,1990,m,us,12.94905543,0.071943696,0,1,"Greenburg, Dan,",Exes,chirandom
dul1.ark+=13960=t3dz0xh78,1880,1880,1836,1880,m,uk,19.46184022,0.999934622,1,1,"Greg, Percy,",Across the zodiac,teamblack | anatscifi | locscifi
mdp.39015078569723,1880,1880,1836,1880,m,uk,16.8030693,0.528229858,1,1,"Greg, Percy,",Across the zodiac,teamred | anatscifi
uc1.b3578701,1880,1880,1836,1880,m,uk,17.66598768,0.938958992,1,1,"Greg, Percy,",Across the zodiac,teamblack | anatscifi | locscifi
23601,1987,1987,1954,1987,f,uk,11.93373379,0.010959408,0,1,"Gregory, Philippa,",Wideacre,teamred | chirandom
uc2.ark+=13960=t45q4sn3p,1893,1894,1857,1893,m,uk,16.87078647,0.910386413,1,1,"Griffith, George Chetwynd",The angel of the revoluti,teamblack | anatscifi
njp.32101067645505,1836,1836,1772,1836,f,us,18.17988039,0.006464354,1,1,"Griffith, Mary,","Camperdown, or, News from",teamblack | locscifi
22894,1988,1988,1945,1988,m,us,11.68893225,0.043322459,0,1,"Grissom, Ken,",Drop-off,teamblack | chirandom | stew | chimyst
22685,1987,1987,0,1987,m,us,12.8196396,0.033538265,0,1,"Guild, Nicholas,",The Assyrian,teamblack | chirandom
25578,1995,1995,1951,1995,f,us,14.20408523,0.998028104,1,1,"Hambly, Barbara,",Children of the Jedi,chiscifi | chirandom
dul1.ark+=13960=t16m3xm4f,1922,1922,1872,1922,f,uk,13.70371334,0.953765203,1,1,"Hamilton, Cicely,",Theodore savage,teamred | femscifi | anatscifi
uc2.ark+=13960=t10p0xs0f,1908,1908,1883,1908,m,us,15.21097144,0.187159399,1,1,"Harding, Ellison.",The woman who vowed,teamblack | locscifi
uva.x000459624,1897,1897,1840,1897,m,uk,14.79369586,0.032389562,0,1,"Hardy, Thomas,",The well-beloved;,teamblack | random
26019,1999,1999,1950,1999,m,us,11.70837362,0.941789487,0,1,"Harlow, Bill,",Circle William,chirandom
nyp.33433074850961,1905,1905,0,1905,m,us,17.57877819,0.104937096,1,1,"Harper, Vincent.",The mortgage on the brain,teamblack | anatscifi | stew
nyp.33433074850870,1904,1904,1870,1904,m,uk,13.66064543,0.851617698,1,1,"Harris-Burland, J. B.",The Princess Thora,teamred | locscifi
11829,1947,1947,1895,1947,m,uk,13.73874807,0.005737198,0,1,"Hartley, L. P.",Eustace and Hilda,teamblack | chirandom
10853,1947,1947,0,1947,m,us,11.40549556,0.990481354,1,1,"Heinlein, Robert A.",Rocket ship Galileo,chiscifi | teamred | chirandom
20139,1954,1954,0,1954,m,us,10.61172801,0.780593166,1,1,"Heinlein, Robert A.",The star beast,teamblack | chiscifi | stew
20233,1956,1956,1907,1956,m,us,11.42250089,0.496820339,1,1,"Heinlein, Robert A.",Double star,chiscifi | teamred | chirandom
20374,1959,1959,1907,1959,m,us,11.6531933,0.822538402,1,1,"Heinlein, Robert A.",Starship troopers,teamblack | chiscifi | stew
nyp.33433074955331,1777,1777,0,1777,f,uk,19.15301633,0.006050441,0,1,Henrietta.,Letters from Henrietta to,teamblack | random
uc2.ark+=13960=t48p64044,1894,1894,1832,1894,m,uk,15.54316551,0.058701267,0,1,"Henty, G. A.",When London burned,teamblack | random
20694,1966,1966,0,1966,m,us,11.9413093,0.998880869,1,1,"Herbert, Frank,",The eyes of Heisenberg,chiscifi | teamred
21734,1980,1980,1927,1980,m,us,11.72656143,0.448320524,0,1,"Herzog, Arthur,",Aries rising,teamred | chirandom
mdp.39015031235545,1920,1920,1861,1920,m,uk,13.42781349,0.010990908,0,1,"Hewlett, Maurice,",The light heart,random | teamred
nyp.33433074870282,1907,1907,1861,1907,m,uk,14.56942294,0.00513426,0,1,"Hewlett, Maurice,",The stooping lady,random | teamred
22692,1987,1987,1953,1987,m,us,11.84637952,0.030033564,0,1,"Hiaasen, Carl,",Double whammy,teamred | chirandom | chimyst
21028,1972,1972,1921,1972,f,us,11.87419268,0.001467011,0,1,"Highsmith, Patricia,",A dog's ransom,teamred | chirandom | crime
10270,1927,1927,1865,1927,f,us,12.35248313,0.013798005,0,1,"Hill, Grace Livingston,",Job's niece,teamblack | chirandom
10353,1931,1931,1865,1931,f,us,13.41610865,0.001756086,0,1,"Hill, Grace Livingston,",The chance of a lifetime,teamred | chirandom
21104,1959,1973,1909,1959,m,us,11.81090947,0.008895911,0,1,"Himes, Chester B.",The crazy kill,teamred | chirandom | chimyst | hardboiled
20961,1971,1971,1941,1971,m,us,12.09641963,0.993403871,1,1,"Hjortsberg, William,",Gray matters,chiscifi | teamred
24690,1998,1998,1960,1998,f,us,11.78437544,0.287551914,1,1,"Hopkinson, Nalo,",Brown girl in the ring,chiscifi | chirandom
23487,1957,1957,1915,1957,m,uk,11.67962483,0.999584944,1,1,"Hoyle, Fred,",The black cloud,teamblack | chiscifi
21967,1982,1982,1911,1982,m,us,10.9003249,0.99230477,1,1,"Hubbard, L. Ron,",Battlefield earth,chiscifi | teamred | chirandom
njp.32101013621246,1887,1906,1841,1887,m,uk,21.26786965,0.724760896,1,1,"Hudson, W. H.",A crystal age,teamred | anatscifi
11043,1932,1932,1894,1932,m,uk,12.86505424,0.90361249,1,1,"Huxley, Aldous,",Brave new world,chiutopia | chiscifi | teamblack
23507,1962,1962,1894,1962,m,uk,13.36243151,0.850915195,1,1,"Huxley, Aldous,",Island,chiutopia | teamred | chiscifi
11575,1938,1938,1906,1938,f,nz,15.1942561,0.003043534,0,1,"Hyde, Robin,",The godwits fly,teamred | chirandom
njp.32101063580995,1903,1903,1866,1903,m,us,16.55414279,0.063543571,0,1,"Isham, Frederic Stewart,",Under the rose,random | teamred
21739,1980,1980,1932,1980,m,us,11.13289263,0.121827958,0,1,"Jakes, John,",The Americans,teamblack | chirandom
21330,1976,1976,1929,1976,m,us,11.49218999,0.009636714,0,1,"Jenkins, Dan,",Limo,teamred | chirandom
23117,1989,1989,1950,1989,m,us,11.51444834,0.988666595,1,1,"Jeter, K. W,",Farewell horizontal,chiscifi | teamred
20065,1952,1952,1915,1952,m,us,10.78752884,0.989156003,1,1,"Jones, Raymond F.",Son of the stars,teamblack | chiscifi
21851,1981,1981,1934,1981,m,us,12.25257381,0.235457681,0,1,"Jones, Robert F.",Slade's glacier,teamred | chirandom
11081,1944,1944,1882,1944,m,uk,10.98856961,0.007577561,0,1,"Joyce, James,",Stephen hero,teamred | chirandom
20544,1963,1963,1922,1963,m,us,30.23659269,0.00211508,0,1,"Kerouac, Jack,",Visions of Gerard,teamblack | chirandom
20592,1964,1964,1932,1964,m,us,12.23994575,0.02086269,0,1,"Kim, Richard E.",The martyred,teamred | chirandom
21631,1979,1979,1947,1979,m,us,11.37418467,0.099452188,1,1,"King, Stephen,",The dead zone,teamblack | chihorror | chiscifi | stew
nyp.33433074866413,1898,1908,1865,1898,m,uk,14.28160336,0.122908444,0,1,"Kipling, Rudyard,",The day's work,random | teamred
20380,1959,1959,0,1959,f,us,11.59926807,0.009829565,0,1,"Kirkland, Elithe Hamilton",Love is a wild assault,teamblack | chirandom
10310,1929,1929,1891,1929,m,us,13.41618888,0.999217792,1,1,"Kline, Otis Adelbert,",The planet of peril,teamblack | chiscifi | stew
10336,1930,1930,1891,1930,m,us,15.17521985,0.999987765,1,1,"Kline, Otis Adelbert,",Maza of the moon,chiscifi | teamred | stew
